Sppcode	strComName	strSciName	MGCode	MGName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
mBDSHx	Baird's Shrew	Sorex bairdi	M073	Vancouverian Lowland Marsh, Wet Meadow & Shrubland	3	6	113,726.5	127,194.8	11
mCHITx	Chital	Axis axis	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	2	28	24,998.9	45,599.1	45
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M013	Eastern North American Ruderal Forest	2	2	2,905,809.5	2,905,809.5	0
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M065	Southeastern Coastal Bog & Fen	1	1	173,296.5	173,296.5	0
mOCELx	Ocelot	Leopardus pardalis	M130	Tamaulipan Scrub & Grassland	5	6	17,201.3	30,493.6	44
mOCELx	Ocelot	Leopardus pardalis	M154	Southern Great Plains Floodplain Forest & Woodland	1	2	12.0	12.0	0
aFMSAx	Fourch Mountain Salamander	Plethodon fourchensis	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	2	28	53,506.9	90,129.5	41
aSZSAx	Southern Zigzag Salamander	Plethodon ventralis	M111	Eastern North American Cliff & Rock Vegetation	1	9	197.0	5,682.9	97
bCMWAx	Cape May Warbler	Dendroica tigrina	8.A	Developed & Urban	3	4	7,024.5	8,780.5	20
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M013	Eastern North American Ruderal Forest	1	2	4,140,905.5	4,173,912.0	1
bOCWAx	Orange-crowned Warbler	Vermivora celata	M011	Madrean Montane Forest & Woodland	2	2	506,788.7	506,788.7	0
bOCWAx	Orange-crowned Warbler	Vermivora celata	M023	Southern Vancouverian Montane-Foothill Forest	7	7	6,301,952.5	6,301,952.5	0
bOCWAx	Orange-crowned Warbler	Vermivora celata	M031	Southern Coastal Plain Floodplain Forest	4	22	4,395,464.7	10,408,593.8	58
mCHITx	Chital	Axis axis	9.A	Introduced & Semi Natural Vegetation	1	6	950.9	1,301.5	27
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M031	Southern Coastal Plain Floodplain Forest	11	22	1,138,584.1	1,138,584.1	0
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M053	Great Plains Shortgrass Prairie	2	2	2,086,880.4	2,086,880.4	0
aSZSAx	Southern Zigzag Salamander	Plethodon ventralis	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	2	19	2,964,845.3	3,382,295.6	12
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	8.A	Developed & Urban	4	4	5,247,477.8	5,247,477.8	0
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M496	West-Central North American Boreal Forest	2	2	2,526,776.3	2,526,776.3	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M024	Vancouverian Lowland & Montane Forest	2	10	633,330.9	6,855,834.1	91
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	1	4	215,345.1	1,043,736.2	79
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M130	Tamaulipan Scrub & Grassland	6	6	4,665,474.7	4,665,474.7	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M617	Caribbean Swamp	2	3	172,184.9	203,597.6	15
bOCWAx	Orange-crowned Warbler	Vermivora celata	M053	Great Plains Shortgrass Prairie	1	2	4,635,579.6	6,245,979.8	26
bPIGRx	Pine Grosbeak	Pinicola enucleator	M053	Great Plains Shortgrass Prairie	1	2	12,759.6	6,082,689.0	100
bSBORx	Spot-breasted Oriole	Icterus pectoralis	8.A	Developed & Urban	3	4	358,552.8	405,152.2	12
mCHITx	Chital	Axis axis	M023	Southern Vancouverian Montane-Foothill Forest	1	7	129.3	143.2	10
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	18	28	15,055,056.5	15,550,736.6	3
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	4	4	858,108.6	858,108.6	0
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M111	Eastern North American Cliff & Rock Vegetation	6	9	12,127.1	36,627.8	67
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	9.A	Introduced & Semi Natural Vegetation	5	6	13,291,572.6	13,699,719.4	3
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M052	Great Plains Sand Grassland & Shrubland	2	2	11,792,291.9	11,792,291.9	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M053	Great Plains Shortgrass Prairie	2	2	23,193,773.3	23,193,773.3	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M512	North American Warm Desert Ruderal Scrub & Grassland	1	1	6,748,482.2	6,748,482.2	0
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M059	Pacific Coastal Beach & Dune	1	3	24,649.8	29,218.1	16
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M093	Great Basin Saltbush Scrub	2	3	1,144,765.5	9,253,994.3	88
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M159	Laurentian & Acadian Pine - Hardwood Forest & Woodland	1	2	1,950.7	7,111.1	73
bHOORx	Hooded Oriole	Icterus cucullatus	M036	Interior Warm & Cool Desert Riparian Forest	1	7	27,188.3	355,912.2	92
rHACOx	Harlequin Coralsnake	Micrurus fulvius	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	1	11	44,034.2	612,785.7	93
rMHNSx	Mexican Hog-nosed Snake	Heterodon kennerlyi	M093	Great Basin Saltbush Scrub	1	3	511.8	573.1	11
rMOSKx	Mole Skink	Plestiodon egregius	M305	Southeastern North American Ruderal Forest	4	8	1,811,815.6	4,984,055.6	64
aCUTRx	Cuban Treefrog	Osteopilus septentrionalis	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	2	11	55,329.4	254,463.8	78
aWSSAx	Western Slimy Salamander	Plethodon albagula	M008	Southern Mesic Mixed Broadleaf Forest	2	8	337,149.8	337,149.8	0
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M086	Chihuahuan Desert Scrub	5	5	9,724,356.0	9,724,356.0	0
bFICRx	Fish Crow	Corvus ossifragus	M008	Southern Mesic Mixed Broadleaf Forest	5	8	1,407,718.0	2,047,586.9	31
bGFWOx	Golden-fronted Woodpecker	Melanerpes aurifrons	M091	Warm Interior Chaparral	3	4	253.2	253.2	0
rMHNSx	Mexican Hog-nosed Snake	Heterodon kennerlyi	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	1	11	4,998.4	4,998.4	0
bBHGRx	Black-headed Grosbeak	Pheucticus melanocephalus	M028	Great Plains Floodplain Forest	5	5	2,375,248.1	2,375,248.1	0
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M028	Great Plains Floodplain Forest	5	5	1,999,767.2	2,033,245.2	2
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M044	Californian Coastal Scrub	3	3	1,234,175.2	1,234,213.5	0
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	2	11	50,213.8	63,809.1	21
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M094	Cool Interior Chaparral	2	2	97,276.8	97,276.8	0
bFICRx	Fish Crow	Corvus ossifragus	M305	Southeastern North American Ruderal Forest	5	8	11,849,865.4	13,757,154.4	14
bFICRx	Fish Crow	Corvus ossifragus	12.A	Barren	1	3	40,235.2	149,677.8	73
rCNIGx	Coast Nightsnake	Hypsiglena ochrorhyncha	M094	Cool Interior Chaparral	2	2	10,225.9	10,225.9	0
aWSSAx	Western Slimy Salamander	Plethodon albagula	M028	Great Plains Floodplain Forest	1	5	17,312.7	17,312.7	0
bFICRx	Fish Crow	Corvus ossifragus	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	10	11	613,534.0	617,902.8	1
rCNIGx	Coast Nightsnake	Hypsiglena ochrorhyncha	M044	Californian Coastal Scrub	3	3	1,152,249.1	1,152,249.1	0
rCNIGx	Coast Nightsnake	Hypsiglena ochrorhyncha	M091	Warm Interior Chaparral	1	4	7,551.9	7,551.9	0
rHACOx	Harlequin Coralsnake	Micrurus fulvius	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	5	8	440,643.4	440,643.4	0
bBHGRx	Black-headed Grosbeak	Pheucticus melanocephalus	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	4	4	12,910,232.4	12,910,232.4	0
bBHGRx	Black-headed Grosbeak	Pheucticus melanocephalus	M059	Pacific Coastal Beach & Dune	1	3	24,649.8	40,677.8	39
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	4	4	13,571,755.9	13,571,755.9	0
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M091	Warm Interior Chaparral	4	4	1,192,649.8	1,192,649.8	0
mFOSHx	Fog Shrew	Sorex sonomae	M886	Southern Vancouverian Dry Foothill Forest	1	3	117,351.8	284,417.7	59
rMOSKx	Mole Skink	Plestiodon egregius	M700	Caribbean-Mesoamerican Coastal Dune & Beach Vegetation	2	3	3,809.7	3,849.3	1
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M058	Pacific Coastal Cliff & Bluff	1	1	299.4	299.4	0
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M886	Southern Vancouverian Dry Foothill Forest	3	3	651,473.8	651,473.8	0
bFICRx	Fish Crow	Corvus ossifragus	M060	Eastern North American Coastal Beach & Rocky Shore	6	8	33,700.7	34,372.7	2
rCNIGx	Coast Nightsnake	Hypsiglena ochrorhyncha	M171	Great Basin-Intermountain Dry Shrubland & Grassland	2	7	1,513.3	295,492.7	99
rTERAx	Texas Ratsnake	Pantherophis obsoletus	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	1	19	0.0	44.2	100
bOCWAx	Orange-crowned Warbler	Vermivora celata	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	12	19	79,373.5	79,536.1	0
bPIGRx	Pine Grosbeak	Pinicola enucleator	M023	Southern Vancouverian Montane-Foothill Forest	4	7	1,910,512.6	1,910,512.6	0
mBDSHx	Baird's Shrew	Sorex bairdi	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	2	6	241,436.3	302,940.4	20
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M073	Vancouverian Lowland Marsh, Wet Meadow & Shrubland	3	6	21,000.0	34,453.6	39
mCLOBx	Curasoan Long-nosed Bat	Leptonycteris curasoae	M086	Chihuahuan Desert Scrub	3	5	920,856.7	993,235.6	7
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	7.B.1	Herbaceous Agricultural Vegetation	1	1	47,920,414.9	47,920,414.9	0
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M069	Eastern North American Marsh, Wet Meadow & Shrubland	5	5	1,257,420.0	1,263,782.1	1
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M082	Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland	2	4	2,275,605.8	2,783,878.6	18
bCOREx	Common Redpoll	Carduelis flammea	7.B.1	Herbaceous Agricultural Vegetation	1	1	39,040,295.3	39,040,295.3	0
bCOREx	Common Redpoll	Carduelis flammea	M049	Southern Rocky Mountain Montane Shrubland	2	2	950.1	950.1	0
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M051	Great Plains Mixedgrass & Fescue Prairie	4	5	1,360,873.1	1,391,193.3	2
bGWWAx	Golden-winged Warbler	Vermivora chrysoptera	M069	Eastern North American Marsh, Wet Meadow & Shrubland	1	5	975,025.1	1,266,882.6	23
bGWWAx	Golden-winged Warbler	Vermivora chrysoptera	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	1	3	249,027.5	596,726.1	58
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M066	Atlantic & Gulf Coastal Fresh-Oligohaline Tidal Marsh	4	4	67,283.9	67,283.9	0
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	1	6	572.8	9,071.4	94
rSFLSx	Southeastern Five-lined Skink	Plestiodon inexpectatus	M057	Eastern North American Dune & Coastal Grassland	4	8	22,763.0	22,763.0	0
bCBCHx	Chestnut-backed Chickadee	Poecile rufescens	M500	Central Rocky Mountain Mesic Lower Montane Forest	2	3	2,450,816.3	2,530,788.8	3
bMAWAx	Magnolia Warbler	Dendroica magnolia	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	2	3	1,406,896.3	1,406,896.3	0
bCBCHx	Chestnut-backed Chickadee	Poecile rufescens	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	1	6	300,584.2	461,470.9	35
bCOREx	Common Redpoll	Carduelis flammea	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	5	6	5,062,314.4	10,558,681.1	52
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M099	Rocky Mountain-Sierran Alpine Tundra	1	7	7,493.0	33,474.4	78
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M101	Vancouverian Alpine Tundra	1	3	21,891.7	59,854.1	63
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M162	Florida Peninsula Scrub & Herb	1	1	12,867.9	12,867.9	0
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	3	3	1,168,558.0	1,671,117.2	30
rYBKIx	Yellow-bellied Kingsnake	Lampropeltis calligaster	M054	Central Lowlands Tallgrass Prairie	7	7	4,372,369.7	4,372,369.7	0
bCOREx	Common Redpoll	Carduelis flammea	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	1	3	345,551.2	1,424,739.2	76
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	1	2	136.5	136.5	0
mHITAx	Himalayan Tahr	Hemitragus jemlahicus	M049	Southern Rocky Mountain Montane Shrubland	1	2	4.0	4.0	0
rYBKIx	Yellow-bellied Kingsnake	Lampropeltis calligaster	M154	Southern Great Plains Floodplain Forest & Woodland	1	2	721,583.9	991,404.4	27
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M048	Central Rocky Mountain Montane-Foothill Grassland & Shrubland	3	6	1,101,288.0	4,603,560.6	76
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M299	North American Boreal Conifer Poor Swamp	1	1	3,015,550.6	3,015,550.6	0
rSTELx	Spot-tailed Earless Lizard	Holbrookia lacerata	M051	Great Plains Mixedgrass & Fescue Prairie	1	5	0.0	126,046.3	100
bCOYEx	Common Yellowthroat	Geothlypis trichas	M044	Californian Coastal Scrub	2	3	1,136,113.9	1,142,404.5	1
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M036	Interior Warm & Cool Desert Riparian Forest	7	7	521,601.8	898,022.5	42
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M161	Pond-cypress Basin Swamp	2	3	515,296.4	515,449.6	0
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M171	Great Basin-Intermountain Dry Shrubland & Grassland	5	7	9,858,840.8	14,953,145.8	34
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M010	Madrean Lowland Evergreen Woodland	2	3	10,138.1	10,138.1	0
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M036	Interior Warm & Cool Desert Riparian Forest	3	7	208,899.5	208,899.5	0
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M060	Eastern North American Coastal Beach & Rocky Shore	6	8	73,342.4	73,342.4	0
mNODEx	Northwestern Deermouse	Peromyscus keeni	M063	North Pacific Bog & Fen	1	3	3,143.5	3,143.5	0
mSAMBx	Sambar	Rusa unicolor	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	1	2	19,517.9	19,517.9	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M063	North Pacific Bog & Fen	3	3	4,049.0	4,067.3	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M158	Great Plains Comanchian scrub & Open Vegetation	1	1	86,206.8	86,206.8	0
bGREJx	Green Jay	Cyanocorax yncas	M036	Interior Warm & Cool Desert Riparian Forest	2	7	78,509.8	78,509.8	0
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M022	Southern Rocky Mountain Lower Montane Forest	3	4	6,129,519.3	6,129,675.9	0
mACSHx	Arctic Shrew	Sorex arcticus	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	1	3	123,071.1	123,071.1	0
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M033	Southern Coastal Plain Basin Swamp & Flatwoods	4	12	499,196.5	1,388,876.8	64
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M161	Pond-cypress Basin Swamp	2	3	4,454.1	520,373.7	99
mNOMYx	Northern Myotis	Myotis septentrionalis	M032	Southern Coastal Plain Evergreen Hardwood-Conifer Swamp	5	5	143,012.8	143,012.8	0
mPASHp	Pacific Shrew (pacificus)	Sorex pacificus pacificus	M074	Western North American Vernal Pool	1	2	2.2	2.2	0
mSAMBx	Sambar	Rusa unicolor	M054	Central Lowlands Tallgrass Prairie	2	7	44.1	44.1	0
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	1	3	0.0	139,802.9	100
bCOYEx	Common Yellowthroat	Geothlypis trichas	M171	Great Basin-Intermountain Dry Shrubland & Grassland	2	7	2,030,149.7	10,308,538.5	80
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M036	Interior Warm & Cool Desert Riparian Forest	2	7	84,763.2	84,763.2	0
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	1	6	135,197.1	10,774,690.7	99
bSTJAx	Steller's Jay	Cyanocitta stelleri	M022	Southern Rocky Mountain Lower Montane Forest	3	4	6,519,931.5	6,519,931.5	0
bSTJAx	Steller's Jay	Cyanocitta stelleri	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	3	4	12,113,075.9	12,987,703.8	7
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M158	Great Plains Comanchian scrub & Open Vegetation	1	1	1,710,014.8	1,710,014.8	0
mNOMYx	Northern Myotis	Myotis septentrionalis	9.A	Introduced & Semi Natural Vegetation	1	6	41,130.5	179,207.0	77
mNOMYx	Northern Myotis	Myotis septentrionalis	M116	Great Plains Cliff, Scree & Rock Vegetation	1	2	652.2	2,128.1	69
mNOMYx	Northern Myotis	Myotis septentrionalis	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	4	8	81,199.9	81,199.9	0
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	6	6	9,717,008.9	9,717,015.6	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M033	Southern Coastal Plain Basin Swamp & Flatwoods	12	12	1,516,357.4	1,739,059.7	13
bCOYEx	Common Yellowthroat	Geothlypis trichas	M134	Caribbean Coastal Lowland Dry Forest	3	3	21,932.8	21,932.8	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	7	8	612,767.3	761,341.3	20
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M063	North Pacific Bog & Fen	2	3	91.1	4,599.2	98
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M054	Central Lowlands Tallgrass Prairie	5	7	3,986,767.3	3,994,274.1	0
bSTJAx	Steller's Jay	Cyanocitta stelleri	M036	Interior Warm & Cool Desert Riparian Forest	2	7	434,385.0	511,157.9	15
bSTJAx	Steller's Jay	Cyanocitta stelleri	M043	Californian Chaparral	2	6	315,463.4	687,874.9	54
rGRANx	Green Anole	Anolis carolinensis	M033	Southern Coastal Plain Basin Swamp & Flatwoods	11	12	1,592,726.5	1,601,233.4	1
rSGLIx	Slender Glass Lizard	Ophisaurus attenuatus	M033	Southern Coastal Plain Basin Swamp & Flatwoods	1	12	16,774.7	1,565,141.9	99
rSGLIx	Slender Glass Lizard	Ophisaurus attenuatus	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	2	8	238,808.0	456,237.5	48
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M066	Atlantic & Gulf Coastal Fresh-Oligohaline Tidal Marsh	1	4	4,654.9	34,482.2	87
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M099	Rocky Mountain-Sierran Alpine Tundra	4	7	297,486.0	1,939,614.7	85
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M101	Vancouverian Alpine Tundra	3	3	59,856.3	59,856.3	0
bGCRFx	Gray-crowned Rosy-finch	Leucosticte tephrocotis	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	3	10	7,239,334.2	15,595,823.3	54
bGCRFx	Gray-crowned Rosy-finch	Leucosticte tephrocotis	M025	Vancouverian Subalpine Forest	3	7	846,858.2	1,035,905.6	18
bLASPx	Lark Sparrow	Chondestes grammacus	M025	Vancouverian Subalpine Forest	2	7	80,447.6	327,418.8	75
bLASPx	Lark Sparrow	Chondestes grammacus	M026	Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland	4	4	8,498,073.0	8,498,073.0	0
bLASPx	Lark Sparrow	Chondestes grammacus	M049	Southern Rocky Mountain Montane Shrubland	2	2	2,245,444.0	2,245,444.0	0
bLASPx	Lark Sparrow	Chondestes grammacus	M092	North America Warm-Desert Xeric-Riparian Scrub	1	1	310,303.1	310,303.1	0
bLASPx	Lark Sparrow	Chondestes grammacus	M308	Southern Barrens & Glade	2	2	3,698.1	3,698.1	0
bRLHAx	Rough-legged Hawk	Buteo lagopus	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	1	7	255,701.0	23,179,231.3	99
bRLHAx	Rough-legged Hawk	Buteo lagopus	M051	Great Plains Mixedgrass & Fescue Prairie	5	5	28,498,789.5	30,771,086.2	7
bRLHAx	Rough-legged Hawk	Buteo lagopus	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	3	6	567,223.0	1,608,651.7	65
bSOSPx	Song Sparrow	Melospiza melodia	M050	Southern Vancouverian Lowland Grassland & Shrubland	4	4	370,507.1	370,507.1	0
bSOSPx	Song Sparrow	Melospiza melodia	M079	North American Atlantic & Gulf Coastal Salt Marsh	9	9	2,423,048.9	2,423,048.9	0
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M011	Madrean Montane Forest & Woodland	2	2	652,078.2	652,078.2	0
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M012	Central Midwest Oak Forest, Woodland & Savanna	3	4	849,691.9	902,596.5	6
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	8	10	9,687,360.6	16,472,965.1	41
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M033	Southern Coastal Plain Basin Swamp & Flatwoods	3	12	77,482.4	1,138,402.9	93
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M500	Central Rocky Mountain Mesic Lower Montane Forest	2	3	524,177.8	2,571,345.3	80
bHOREx	Hoary Redpoll	Carduelis hornemanni	M051	Great Plains Mixedgrass & Fescue Prairie	1	5	366,230.1	21,915,396.7	98
bRLHAx	Rough-legged Hawk	Buteo lagopus	M050	Southern Vancouverian Lowland Grassland & Shrubland	3	4	118,303.6	118,501.0	0
bRLHAx	Rough-legged Hawk	Buteo lagopus	M117	North American Warm Semi-Desert Cliff, Scree & Rock Vegetation	3	4	615,033.5	2,776,394.2	78
bRLHAx	Rough-legged Hawk	Buteo lagopus	M170	Great Basin-Intermountain Dwarf Sagebrush Steppe & Shrubland	2	4	2,302,984.3	2,942,209.6	22
mESSKx	Eastern Spotted Skunk	Spilogale putorius	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	1	7	44,425.7	44,425.7	0
aNRSAx	Northern Ravine Salamander	Plethodon electromorphus	M012	Central Midwest Oak Forest, Woodland & Savanna	1	4	86,987.5	88,480.1	2
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M299	North American Boreal Conifer Poor Swamp	1	1	2,931,254.4	2,931,254.4	0
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	2	8	312,536.3	549,318.3	43
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M886	Southern Vancouverian Dry Foothill Forest	3	3	648,887.9	648,887.9	0
bLASPx	Lark Sparrow	Chondestes grammacus	M069	Eastern North American Marsh, Wet Meadow & Shrubland	2	5	583,243.8	655,795.4	11
bLASPx	Lark Sparrow	Chondestes grammacus	M168	Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow	4	5	2,036,754.4	2,039,808.6	0
bLASPx	Lark Sparrow	Chondestes grammacus	M169	Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland	5	5	48,905,473.7	48,905,473.7	0
bRLHAx	Rough-legged Hawk	Buteo lagopus	M088	Mojave-Sonoran Semi-Desert Scrub	1	4	301,501.2	10,812,265.7	97
bSNOWx	Snowy Owl	Bubo scandiacus	M066	Atlantic & Gulf Coastal Fresh-Oligohaline Tidal Marsh	2	4	25,679.7	25,679.7	0
bSOSPx	Song Sparrow	Melospiza melodia	M034	Rocky Mountain-Great Basin Montane Riparian Forest	6	6	902,869.6	946,996.5	5
bSOSPx	Song Sparrow	Melospiza melodia	M043	Californian Chaparral	6	6	1,263,733.7	1,263,735.7	0
bSOSPx	Song Sparrow	Melospiza melodia	M151	Great Plains Forest & Woodland	1	4	247,659.0	554,705.0	55
aCSLSx	California Slender Salamander	Batrachoseps attenuatus	M063	North Pacific Bog & Fen	2	3	1.1	95.6	99
aGBSAx	Georgia Blind Salamander	Haideotriton wallacei	M007	Longleaf Pine Woodland	1	20	13,198.0	135,353.2	90
aGBSAx	Georgia Blind Salamander	Haideotriton wallacei	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	2	28	0.0	6,321.6	100
aSCSAx	Scott Bar Salamander	Plethodon asupak	M023	Southern Vancouverian Montane-Foothill Forest	6	7	101,955.4	101,976.2	0
bCCSPx	Clay-colored Sparrow	Spizella pallida	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	1	19	0.0	54,156.0	100
bCWWIx	Chuck-will's-widow	Caprimulgus carolinensis	M508	Central Interior Calcareous Scrub & Grassland	5	6	186,884.1	283,023.6	34
bEVGRx	Evening Grosbeak	Coccothraustes vespertinus	M063	North Pacific Bog & Fen	1	3	4,511.4	4,602.5	2
bEVGRx	Evening Grosbeak	Coccothraustes vespertinus	M073	Vancouverian Lowland Marsh, Wet Meadow & Shrubland	4	6	608,877.0	650,627.5	6
bEVGRx	Evening Grosbeak	Coccothraustes vespertinus	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	11	19	11,750,281.7	17,418,706.3	33
bHETHx	Hermit Thrush	Catharus guttatus	M035	Vancouverian Flooded & Swamp Forest	1	3	28,146.2	92,097.3	69
bHETHx	Hermit Thrush	Catharus guttatus	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	13	19	6,506,374.6	17,280,945.5	62
