Sppcode	strComName	strSciName	MGCode	MGName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
bCOYEx	Common Yellowthroat	Geothlypis trichas	M886	Southern Vancouverian Dry Foothill Forest	1	3	69,880.7	569,547.9	88
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	8	8	761,407.1	761,407.1	0
aSQSAx	Sequoyah Slimy Salamander	Plethodon sequoyah	M008	Southern Mesic Mixed Broadleaf Forest	1	8	49,861.6	49,861.6	0
bLALOx	Lapland Longspur	Calcarius lapponicus	M044	Californian Coastal Scrub	2	3	1,207,799.4	1,207,837.3	0
bLALOx	Lapland Longspur	Calcarius lapponicus	M060	Eastern North American Coastal Beach & Rocky Shore	6	8	23,591.9	36,589.2	36
bLALOx	Lapland Longspur	Calcarius lapponicus	M888	Arid West Interior Freswater Marsh	1	3	26,858.6	26,858.6	0
bPRFAx	Prairie Falcon	Falco mexicanus	M095	Great Basin-Intermountain Xeric-Riparian Scrub	1	1	5,590.4	5,590.4	0
bPRFAx	Prairie Falcon	Falco mexicanus	M171	Great Basin-Intermountain Dry Shrubland & Grassland	7	7	15,193,114.2	15,193,114.2	0
bSUTAx	Summer Tanager	Piranga rubra	M095	Great Basin-Intermountain Xeric-Riparian Scrub	1	1	811.5	811.5	0
mPRSHx	Prairie Shrew	Sorex haydeni	10.A	Recently Disturbed or Modified	2	12	388,906.8	1,579,836.4	75
mTBCRx	Tawny-bellied Cotton Rat	Sigmodon fulviventer	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	1	4	69,399.4	407,466.0	83
mTBCRx	Tawny-bellied Cotton Rat	Sigmodon fulviventer	M086	Chihuahuan Desert Scrub	1	5	1,292,282.4	1,841,340.6	30
mWTWOx	White-toothed Woodrat	Neotoma leucodon	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	1	2	20,587.6	20,587.6	0
rDENIx	Desert Nightsnake	Hypsiglena chlorophaea	M093	Great Basin Saltbush Scrub	3	3	8,144,266.1	8,144,266.1	0
aCVSAx	Cave Salamander	Eurycea lucifuga	M008	Southern Mesic Mixed Broadleaf Forest	3	8	86,183.8	87,325.2	1
aHUSPx	Hurter's Spadefoot	Scaphiopus hurterii	M028	Great Plains Floodplain Forest	3	5	310,834.1	310,834.1	0
aHUSPx	Hurter's Spadefoot	Scaphiopus hurterii	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	1	11	52,040.1	66,196.4	21
aSRSAx	Southern Ravine Salamander	Plethodon richmondi	M111	Eastern North American Cliff & Rock Vegetation	5	9	4,310.6	4,635.3	7
bEATOx	Eastern Towhee	Pipilo erythrophthalmus	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	4	11	472,521.1	681,212.3	31
bHETAx	Hepatic Tanager	Piranga flava	M022	Southern Rocky Mountain Lower Montane Forest	2	4	4,302,892.5	4,602,252.8	7
mPRSHx	Prairie Shrew	Sorex haydeni	M300	North American Boreal Flooded & Rich Swamp	1	1	10,317.5	10,317.5	0
rCFLSx	Common Five-lined Skink	Plestiodon fasciatus	M305	Southeastern North American Ruderal Forest	1	8	182,185.5	13,439,587.9	99
rDENIx	Desert Nightsnake	Hypsiglena chlorophaea	M082	Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland	2	4	4,082,858.4	4,409,746.0	7
aERBSx	Eastern Red-backed Salamander	Plethodon cinereus	M008	Southern Mesic Mixed Broadleaf Forest	1	8	324,597.6	324,597.6	0
aHUSPx	Hurter's Spadefoot	Scaphiopus hurterii	M008	Southern Mesic Mixed Broadleaf Forest	1	8	929,702.0	929,702.0	0
bEATOx	Eastern Towhee	Pipilo erythrophthalmus	10.A	Recently Disturbed or Modified	9	12	12,569,977.7	12,880,905.8	2
bHETAx	Hepatic Tanager	Piranga flava	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	4	4	6,913,334.1	6,913,334.1	0
bPRFAx	Prairie Falcon	Falco mexicanus	M115	Great Plains Badlands Vegetation	1	1	1,289,711.2	1,289,711.2	0
mINMYx	Indiana Myotis	Myotis sodalis	M154	Southern Great Plains Floodplain Forest & Woodland	1	2	222,122.4	222,122.4	0
mKEMYx	Keen's Myotis	Myotis keenii	8.B	Quarries, Mines, Gravel Pits and Oil Wells	1	1	15.0	15.0	0
